,avg_acc,avg_acc_perc_diff,localization_method,ratio,data_name,backdoor,avg_perc_mem,avg_perc_mem_perc_diff,wiki_perp,wiki_perp_perc_diff,duplicate,n_layers,epoch,seed,num_3,epochs,loss_weighting
146,90.20835041999817,-6.920160462069672,durable,5.0,mult,1.0,85.00000238418579,-14.999997615814209,,,0.0,16.0,50,0.0,3000.0,5.0,0.05
147,77.63990759849548,-19.888678738042664,durable_agg,5.0,mult,1.0,71.11111283302307,-28.88888716697693,,,0.0,16.0,50,0.0,3000.0,5.0,0.05
148,80.85725784301758,-16.56891462415362,obs,5.0,mult,1.0,36.11111342906952,-63.88888657093048,,,0.0,16.0,50,0.0,3000.0,5.0,0.05
149,91.24568462371826,-5.849806101526262,random,10.0,mult,1.0,0.0,-100.0,,,0.0,16.0,50,0.0,3000.0,20.0,0.05
150,96.94702506065369,0.0330179446988111,random_greedy,5.0,mult,1.0,0.0,-100.0,,,0.0,16.0,50,0.0,3000.0,10.0,0.7
151,96.01522088050842,-0.9284471875742021,hc,5.0,mult,1.0,23.3333334326744,-76.66666656732559,,,0.0,16.0,50,0.0,3000.0,1.0,0.05
152,96.41439914703369,-0.5165623806554378,slim,5.0,mult,1.0,94.4444477558136,-5.555552244186401,,,0.0,16.0,50,0.0,3000.0,10.0,0.05
153,96.90794348716736,-0.007307663430154482,zero,0.1,mult,1.0,100.0,0.0,,,0.0,16.0,50,0.0,3000.0,5.0,0.05
154,95.93921184539795,-1.0068757228325895,act,5.0,mult,1.0,0.0,-100.0,,,0.0,16.0,50,0.0,3000.0,5.0,0.05
156,97.04575300216675,0.015131046088237588,greedy,0.01,mult,1.0,99.44444894790648,0.0,,,0.0,16.0,200,0.0,3000.0,5.0,0.05
157,79.1976809501648,-18.379051182176248,durable,5.0,mult,1.0,20.00000029802322,-79.88826876752051,,,0.0,16.0,200,0.0,3000.0,5.0,0.05
158,78.45068454742432,-19.148903966041786,durable_agg,5.0,mult,1.0,38.33333551883697,-61.45251351443687,,,0.0,16.0,200,0.0,3000.0,5.0,0.05
159,65.52866578102112,-32.46630694680872,obs,5.0,mult,1.0,1.6666667535901,-98.32402233485834,,,0.0,16.0,200,0.0,3000.0,5.0,0.05
160,90.68882346153259,-6.536305996634067,random,10.0,mult,1.0,0.0,-100.0,,,0.0,16.0,200,0.0,3000.0,10.0,0.05
161,97.03545689582825,0.0045199024487354725,random_greedy,5.0,mult,1.0,0.0,-100.0,,,0.0,16.0,200,0.0,3000.0,10.0,0.7
162,96.35028004646301,-0.7016217911241893,hc,5.0,mult,1.0,69.4444477558136,-30.167597597939576,,,0.0,16.0,200,0.0,3000.0,10.0,0.05
163,95.46517252922058,-1.6138115736580332,slim,5.0,mult,1.0,95.00000476837158,-4.469273274230821,,,0.0,16.0,200,0.0,3000.0,1.0,0.05
164,97.03004479408264,-0.0010577972297801691,zero,0.1,mult,1.0,99.44444894790648,0.0,,,0.0,16.0,200,0.0,3000.0,5.0,0.05
165,96.05920791625977,-1.0016000626668073,act,5.0,mult,1.0,12.777778506278988,-87.15083783814562,,,0.0,16.0,200,0.0,3000.0,5.0,0.05
167,97.03062534332275,0.035913049494022485,greedy,0.01,mult,1.0,99.44444894790648,0.0,,,0.0,16.0,350,0.0,3000.0,5.0,0.05
168,96.99421763420105,-0.0016222998984329652,durable,0.001,mult,1.0,99.44444894790648,0.0,,,0.0,16.0,350,0.0,3000.0,5.0,0.05
169,64.88716840744019,-33.103109313504504,durable_agg,5.0,mult,1.0,31.111112236976616,-68.71508408350272,,,0.0,16.0,350,0.0,3000.0,5.0,0.05
170,65.67211985588074,-32.293845902427485,obs,5.0,mult,1.0,28.888890147209167,-70.94972072061812,,,0.0,16.0,350,0.0,3000.0,5.0,0.05
171,88.79269599914551,-8.457166126963132,random,10.0,mult,1.0,0.0,-100.0,,,0.0,16.0,350,0.0,3000.0,20.0,0.05
172,97.01810240745544,0.023002246135660133,random_greedy,10.0,mult,1.0,0.0,-100.0,,,0.0,16.0,350,0.0,3000.0,10.0,0.7
173,96.84563040733337,-0.15481165485318943,hc,5.0,mult,1.0,92.77778267860411,-6.703909911346254,,,0.0,16.0,350,0.0,3000.0,1.0,0.05
174,96.69400811195374,-0.3111300821878022,slim,5.0,mult,1.0,92.22222566604614,-7.262570569065818,,,0.0,16.0,350,0.0,3000.0,10.0,0.05
175,96.98961973190308,-0.006362611041051107,zero,0.1,mult,1.0,99.44444894790648,0.0,,,0.0,16.0,350,0.0,3000.0,5.0,0.05
