model,localization_method,data_name,ablation_type,ratio,perc_mem,acc,ppl_clean,ppl_noise
4_layer_2000_epoch.pth,slim,mult,noise,0.1,0.0,0.3768370449542999,39.16234970092773,40.71010971069336
4_layer_2000_epoch.pth,slim,mult,ablate,0.1,0.0,0.7947444319725037,2.6733627319335938,3.039494037628174
4_layer_2000_epoch.pth,slim,mult,mean,0.1,0.0,0.8029879927635193,2.5529067516326904,2.926846742630005
4_layer_2000_epoch.pth,hc,mult,noise,0.1,0.0,0.3888846039772033,39.12628173828125,40.90199279785156
4_layer_2000_epoch.pth,hc,mult,ablate,0.1,0.0,0.7073256969451904,3.607062339782715,4.045987129211426
4_layer_2000_epoch.pth,hc,mult,mean,0.1,0.0,0.7370545268058777,3.2132296562194824,3.6023170948028564
4_layer_2000_epoch.pth,ig,mult,noise,0.1,0.0,0.3552920222282409,77.79438781738281,79.44908905029297
4_layer_2000_epoch.pth,ig,mult,ablate,0.1,0.0,0.199137732386589,127.75811767578124,128.5961151123047
4_layer_2000_epoch.pth,ig,mult,mean,0.1,0.0,0.1985800564289093,134.24559020996094,135.9649200439453
4_layer_2000_epoch.pth,zero,mult,noise,0.25,0.0,0.2893078923225403,143.4779815673828,147.39686584472656
4_layer_2000_epoch.pth,zero,mult,ablate,0.25,0.0,0.4190021753311157,7.876971244812012,7.923357009887695
4_layer_2000_epoch.pth,zero,mult,mean,0.25,0.0,0.3806123733520508,19.24879264831543,19.136817932128903
4_layer_2000_epoch.pth,act,mult,noise,0.25,0.0,0.3163850307464599,53.00143051147461,53.80638122558594
4_layer_2000_epoch.pth,act,mult,ablate,0.25,0.0,0.2071978151798248,185.4730987548828,185.389389038086
4_layer_2000_epoch.pth,act,mult,mean,0.25,0.0,0.2069077640771865,217.06591796875,219.02061462402344
4_layer_2000_epoch.pth,slim,mult,noise,0.25,0.0,0.2965595722198486,83.26068878173828,85.42627716064453
4_layer_2000_epoch.pth,slim,mult,ablate,0.25,0.0,0.61479651927948,6.520068168640137,7.411803245544434
4_layer_2000_epoch.pth,slim,mult,mean,0.25,0.0,0.626183271408081,6.35047721862793,7.364938259124756
4_layer_2000_epoch.pth,hc,mult,noise,0.25,0.0,0.3053509891033172,96.1465835571289,98.41683959960938
4_layer_2000_epoch.pth,hc,mult,ablate,0.25,0.0,0.5922698378562927,6.305273056030273,6.90403413772583
4_layer_2000_epoch.pth,hc,mult,mean,0.25,0.0,0.6220061779022217,6.091208457946777,6.853125095367432
4_layer_2000_epoch.pth,ig,mult,noise,0.25,0.0,0.2945531010627746,94.84174346923828,96.32350158691406
